state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR,  Toluene, WD, WS, CO, Benzene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,03-Jul-2020 - 13:00,41.62,971.7,156.5,93.5,49.75,401.4,32.05,85.0,1.62,1.58,4.2,29.68,5.3,30.57,20.6,165.7,13.32
Delhi,Delhi,site_301,03-Jul-2020 - 14:00,41.15,971.73,157.25,83.25,49.65,360.88,27.07,80.0,1.77,1.98,2.92,30.05,4.83,30.25,20.0,163.03,15.5
Delhi,Delhi,site_301,03-Jul-2020 - 15:00,39.07,971.8,139.0,64.25,54.27,297.75,56.1,133.75,0.75,2.08,3.03,28.48,24.93,58.35,51.35,109.05,15.05
Delhi,Delhi,site_301,03-Jul-2020 - 16:00,38.77,971.8,111.5,56.25,56.58,352.65,47.92,76.5,1.15,1.8,2.8,30.88,5.97,35.58,23.77,118.53,13.0
Delhi,Delhi,site_301,03-Jul-2020 - 17:00,38.48,971.8,92.5,48.0,57.65,354.8,42.25,76.25,1.08,1.65,3.15,30.23,5.42,40.67,26.02,104.15,24.67
Delhi,Delhi,site_301,03-Jul-2020 - 18:00,37.5,971.8,94.5,48.75,61.55,251.03,98.25,73.0,0.85,1.85,6.75,31.38,5.85,42.7,27.53,87.83,23.52
Delhi,Delhi,site_301,03-Jul-2020 - 19:00,36.85,971.8,95.5,50.0,63.58,71.03,105.47,79.75,1.67,2.0,8.6,30.77,5.83,32.12,21.85,88.0,15.03
Delhi,Delhi,site_301,03-Jul-2020 - 20:00,36.17,971.92,89.25,45.0,64.25,9.25,30.67,84.25,2.08,1.88,2.05,30.75,5.05,24.85,17.35,100.45,8.78
Delhi,Delhi,site_301,03-Jul-2020 - 21:00,35.9,971.9,73.75,41.0,65.28,9.3,12.65,84.75,1.68,2.05,1.65,30.47,5.1,22.23,16.0,92.42,8.18
Delhi,Delhi,site_301,03-Jul-2020 - 22:00,35.8,971.9,69.75,47.25,64.75,9.25,9.57,80.0,1.8,1.65,2.33,31.07,5.08,23.12,16.45,80.97,9.05
Delhi,Delhi,site_301,04-Jul-2020 - 00:00,35.6,971.9,68.5,43.5,64.9,9.2,19.8,95.75,1.95,1.12,3.03,30.4,4.07,12.7,10.1,85.05,10.15
Delhi,Delhi,site_301,04-Jul-2020 - 01:00,35.4,971.9,64.0,42.0,63.62,9.22,7.22,74.0,1.3,1.27,1.52,32.0,4.5,11.7,9.9,74.95,10.07
Delhi,Delhi,site_301,04-Jul-2020 - 02:00,34.88,972.0,55.25,36.25,66.1,9.28,8.57,77.0,1.28,1.1,1.35,30.35,5.35,15.95,12.85,75.8,11.15
